experiment,K,C,scenario,routing_mode,num_routes,policy,n_drones,mean_h1,mean_h2,mean_risk,peak_h1,peak_h2,peak_risk,frames_per_drone,channel_util
capacity_15min_sw_nsw_assimetrico,2,8,2r_static,static,2,max-weight-sw,12,4.903333333333333,962.5166666666667,774.0356083333334,15,3313,960.9423,18.5,0.8006619688234038
capacity_15min_sw_nsw_assimetrico,2,8,2r_static,static,2,mw-pe,30,5.894333333333333,834.8633333333333,481.08608,18,1888,558.459,2.466666666666667,0.8010027347310847
capacity_15min_sw_nsw_assimetrico,2,8,2r_static,static,2,pf-classic,30,445.6716666666667,859.9753333333333,26664.78683333333,1915,2107,61571.1255,2.566666666666667,0.8035934291581108
capacity_15min_sw_nsw_assimetrico,2,8,2r_static,static,2,pf-classic-sw,12,4.508333333333333,1106.5316666666668,908.2504583333333,17,2027,1091.8585,15.416666666666666,0.7979832074596008
capacity_15min_sw_nsw_assimetrico,2,8,2r_static,static,2,round-robin,30,291.854,879.4206666666666,12985.432996666666,885,1966,34265.7303,2.5,0.8035934291581108
capacity_15min_sw_nsw_assimetrico,2,8,2r_static,static,2,round-robin-sw,12,5.166666666666667,1107.5266666666666,908.7354416666667,56,2103,1078.341,15.333333333333334,0.7991955969517358
capacity_15min_sw_nsw_assimetrico,2,16,2r_static,static,2,aoi-normalized,62,63.83209677419355,960.091935483871,1734.1287193548387,268,2108,6092.6019,1.3225806451612903,0.8029112754158965
capacity_15min_sw_nsw_assimetrico,2,16,2r_static,static,2,aoi-sw,24,11.339583333333334,1263.2304166666665,1169.2372625,33,3029,1360.2232,10.458333333333334,0.8009499543896071
capacity_15min_sw_nsw_assimetrico,2,16,2r_static,static,2,max-weight-drift,62,62.44774193548387,973.2888709677419,1664.0199887096774,252,2108,3585.4625,1.2903225806451613,0.8043531425776473
capacity_15min_sw_nsw_assimetrico,2,16,2r_static,static,2,max-weight-sw,24,5.7025,2868.36375,1773.304175,17,8614,2134.4567,5.5,0.7985508967810904
capacity_15min_sw_nsw_assimetrico,2,16,2r_static,static,2,mw-pe,62,8.881774193548386,1031.5854838709677,556.3205677419355,24,2108,645.5595,0.5645161290322581,0.798284625158831
capacity_15min_sw_nsw_assimetrico,2,16,2r_static,static,2,pf-classic,62,785.1041935483871,993.8132258064517,48369.96377580645,2099,2108,78694.5488,1.2741935483870968,0.8025653675382338
capacity_15min_sw_nsw_assimetrico,2,16,2r_static,static,2,pf-classic-sw,24,8.35125,2071.1516666666666,1493.5951375,30,4023,1731.8416,7.833333333333333,0.8003606491685034
capacity_15min_sw_nsw_assimetrico,2,16,2r_static,static,2,round-robin,62,636.0046774193548,1045.3201612903226,37006.9801516129,1760,2107,56383.1213,1.3064516129032258,0.803749383325111
capacity_15min_sw_nsw_assimetrico,2,16,2r_static,static,2,round-robin-sw,24,9.765,2069.6,1508.8236416666666,98,4235,1797.2748,7.833333333333333,0.8003850318854531
capacity_15min_sw_nsw_assimetrico,2,32,2r_static,static,2,aoi-normalized,126,45.62611111111111,1035.1327777777778,1254.9536015873016,192,2108,2876.7874,0.14285714285714285,0.8007033997655334
capacity_15min_sw_nsw_assimetrico,2,32,2r_static,static,2,aoi-sw,50,21.3906,2239.294,1735.957256,56,5344,1974.4389,5.12,0.8000183947513643
capacity_15min_sw_nsw_assimetrico,2,32,2r_static,static,2,max-weight-drift,126,12.190396825396826,1048.5518253968255,785.3912944444444,135,2108,2838.0443,0.07936507936507936,0.7995423340961099
capacity_15min_sw_nsw_assimetrico,2,32,2r_static,static,2,max-weight-sw,50,8.5298,5152.767,2500.038248,27,10500,2540.7222,0.66,0.7977800201816347
capacity_15min_sw_nsw_assimetrico,2,32,2r_static,static,2,mw-pe,126,9.815238095238096,1052.0988095238095,570.8459190476191,29,2108,663.6476,0.015873015873015872,0.7960526315789473
capacity_15min_sw_nsw_assimetrico,2,32,2r_static,static,2,pf-classic,126,930.1989682539682,1023.745,65035.33433571429,2099,2108,90376.2368,0.3968253968253968,0.8032517177973483
capacity_15min_sw_nsw_assimetrico,2,32,2r_static,static,2,pf-classic-sw,50,16.2812,3607.3968,2106.447776,51,7838,2363.6765,3.68,0.8019375262214424
capacity_15min_sw_nsw_assimetrico,2,32,2r_static,static,2,round-robin,126,889.1001587301587,1051.9675396825396,59338.672825396825,2044,2108,85520.2382,0.2698412698412698,0.8034452724281429
capacity_15min_sw_nsw_assimetrico,2,32,2r_static,static,2,round-robin-sw,50,19.2868,3602.6223999999997,2116.965996,186,8255,2479.6704,3.7,0.8018289197942465
capacity_15min_sw_nsw_assimetrico,2,64,2r_static,static,2,aoi-normalized,254,19.195551181102363,1052.0966929133858,725.5226066929134,99,2108,1384.9574,0.003937007874015748,0.8035866780529461
capacity_15min_sw_nsw_assimetrico,2,64,2r_static,static,2,aoi-sw,102,37.31794117647059,3866.3404901960785,2300.613794117647,103,9765,2699.131,2.3529411764705883,0.7987374067774434
capacity_15min_sw_nsw_assimetrico,2,64,2r_static,static,2,max-weight-drift,254,18.708582677165353,1052.0966929133858,686.5341350393701,87,2108,1170.2221,0.003937007874015748,0.7905511811023622
capacity_15min_sw_nsw_assimetrico,2,64,2r_static,static,2,max-weight-sw,102,16.33401960784314,5249.6,2572.5518529411765,51,10500,2635.6407,0.08823529411764706,0.7940821256038647
capacity_15min_sw_nsw_assimetrico,2,64,2r_static,static,2,mw-pe,254,18.603858267716536,1052.1003937007874,672.5391755905512,51,2108,951.1227,0,0.7611940298507462
capacity_15min_sw_nsw_assimetrico,2,64,2r_static,static,2,pf-classic,254,991.0712598425197,1038.045748031496,88178.9126464567,2099,2108,113142.4548,0.19291338582677164,0.803680981595092
capacity_15min_sw_nsw_assimetrico,2,64,2r_static,static,2,pf-classic-sw,102,32.18343137254902,4959.87725490196,2580.9081519607844,91,10499,2854.2402,1.588235294117647,0.8014432376134504
capacity_15min_sw_nsw_assimetrico,2,64,2r_static,static,2,round-robin,254,985.0811811023622,1052.057716535433,86513.46606181102,2077,2108,110212.3261,0.08661417322834646,0.8039685582822086
capacity_15min_sw_nsw_assimetrico,2,64,2r_static,static,2,round-robin-sw,102,38.15450980392157,4957.257254901961,2649.0524872549017,320,10499,3703.7361,1.588235294117647,0.8015613382899628
capacity_15min_sw_nsw_assimetrico,4,2,2r_static,static,2,aoi-normalized,6,1.245,178.19833333333332,163.74411666666668,7,272,178.889,16.666666666666668,0.8057998573805563
capacity_15min_sw_nsw_assimetrico,4,2,2r_static,static,2,aoi-sw,2,2.35,285.73,252.88565,10,509,253.0488,53.5,0.802259047335959
capacity_15min_sw_nsw_assimetrico,4,2,2r_static,static,2,max-weight-drift,6,1.245,177.69166666666666,163.71916666666667,7,266,176.893,16.5,0.8083353141589414
capacity_15min_sw_nsw_assimetrico,4,2,2r_static,static,2,max-weight-sw,2,2.8200000000000003,255.25,225.8911,10,492,225.9136,60,0.8046175280302528
